,order_id,shop_id,user_id,order_amount,total_items,price_per_unit
count,4937.0,4937.0,4937.0,4937.0,4937.0,4937.0
mean,2499.5513469718453,49.846465464857204,849.7522787117683,302.58051448247926,1.9947336439133077,151.7885355479036
std,1444.0694065096623,29.061131359949695,86.84031251561024,160.80491180544306,0.9828207382187258,29.034215379531553
min,1.0,1.0,700.0,90.0,1.0,90.0
25%,1248.0,24.0,775.0,163.0,1.0,132.0
50%,2497.0,50.0,850.0,284.0,2.0,153.0
75%,3751.0,74.0,925.0,387.0,3.0,166.0
max,5000.0,100.0,999.0,1760.0,8.0,352.0
